,,INPUT PARAMETERS,,,,,,,,,OUTPUT,,,,,,
City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,,,,,, 
Mumbai,11/4/2019,28.41,66.83,21.88,26.02,47.57,13.52,0.84,13.21,16.42,78,,,,,,
Mumbai,11/5/2019,36.96,76.94,12.57,30.58,42.93,14.93,0.85,15.39,22.29,79,,,,,,
Mumbai,11/6/2019,52.87,101.96,25.56,37.21,62.77,15.25,1.01,12.45,20.34,105,,,,,,
Mumbai,11/7/2019,19.26,52.22,9.35,20.79,30.05,13.56,0.61,9.31,13.36,84,,,,,,
Mumbai,11/8/2019,12.19,41.81,13.33,22.57,35.9,11.76,0.61,8.53,15.25,57,,,,,,
Mumbai,11/9/2019,27.12,73.34,18.64,31.47,50.12,13.91,0.8,8.97,14.44,82,,,,,,
Mumbai,11/10/2019,49.51,98.73,26.17,30.33,56.49,13.09,1.02,9.21,21.17,97,,,,,,
Mumbai,11/11/2019,57.72,106.42,18.86,39.04,57.85,13.54,1.12,10.26,26.65,108,,,,,,
Mumbai,11/12/2019,69.7,132.42,23.32,42.53,65.85,15.99,1.21,12.41,32.22,134,,,,,,
Mumbai,11/13/2019,64.9,122.75,19.44,47.12,66.57,17.01,1.03,9.55,28.58,140,,,,,,
Mumbai,11/14/2019,62.54,123.27,17.52,45.44,62.96,17.78,0.79,11.34,31.66,128,,,,,,
Mumbai,11/15/2019,69.75,128.01,17.47,48.03,65.5,18.87,0.88,10.86,29.62,131,,,,,,
Mumbai,11/16/2019,77.05,135.69,15.82,42.82,58.64,19.51,0.86,15.39,31.08,149,,,,,,
Mumbai,11/17/2019,70.89,123.26,15.95,35.4,51.35,17.79,0.93,21.01,28.13,149,,,,,,
Mumbai,11/18/2019,72.13,125.42,10.68,41.1,51.78,16.91,0.89,14.91,40.98,140,,,,,,
Mumbai,11/19/2019,90.92,163.46,23.24,52.54,75.78,16.51,1.17,10.58,33.36,184,,,,,,
Mumbai,11/20/2019,91.86,171.91,29.09,51.64,80.72,19.47,1.22,10.92,33.38,209,,,,,,
Mumbai,11/21/2019,92.37,167.92,23.58,49.5,73.07,20.64,1.16,11.59,29.5,209,,,,,,
Mumbai,11/22/2019,87.03,163.02,22.99,47.1,70.08,19.7,1.07,17.75,31.78,208,,,,,,
Mumbai,11/23/2019,82.21,154.89,25.47,42.15,67.69,18.22,1.08,16.27,28.57,184,,,,,,
Mumbai,11/24/2019,82.78,149.57,17.24,41.2,58.43,16.35,0.98,15.66,40.96,176,,,,,,
Mumbai,11/25/2019,89.06,159.83,20.65,44.9,65.55,16.88,1.06,13.78,36.41,190,,,,,,
Mumbai,11/26/2019,83.45,158.37,28.52,47.23,75.75,16.93,1.07,17.3,39.16,193,,,,,,
Mumbai,11/27/2019,73.81,143.06,33.12,40.31,73.44,17.02,0.94,16.55,23.19,173,,,,,,
Mumbai,11/28/2019,71.95,142.88,23.35,49.86,73.14,19.14,1.1,17.73,35.46,146,,,,,,
Mumbai,11/29/2019,81.38,148.72,32.36,43.02,75.1,19.31,1.21,16.65,28.14,163,,,,,,
Mumbai,11/30/2019,87.36,158.29,22.47,44.13,65.12,18.8,1.05,17.05,31.04,186,,,,,,
Mumbai,12/1/2019,94.89,168.1,34.82,40.69,75.49,18.47,1.27,16.74,27.11,212,,,,,,
Mumbai,12/2/2019,64.67,120.78,17.63,36.01,53.64,17.11,1.02,14.84,29.09,174,,,,,,
Mumbai,12/3/2019,39.87,98.1,25.44,33.4,58.85,18.28,0.93,14.4,20.33,115,,,,,,
Mumbai,12/4/2019,49.87,109.16,22.61,33.59,56.18,18.07,0.89,10.19,25.2,99,,,,,,
Mumbai,12/5/2019,65.29,121.72,23.97,36.28,59.59,34.63,1.01,9.91,19.03,111,,,,,,
Mumbai,12/6/2019,83.28,149.35,21.27,37.76,57.07,21.47,1,11.19,25.39,180,,,,,,
Mumbai,12/7/2019,70.54,140.48,22.79,42.12,63.02,19.52,0.96,10.58,33.03,154,,,,,,
Mumbai,12/8/2019,88.13,157.73,16.35,43.61,58.8,18.82,1.05,11.77,39.85,174,,,,,,
Mumbai,12/9/2019,82.73,147.34,20.08,42.56,60.95,18.14,1.14,12.12,37.94,205,,,,,,
Mumbai,12/10/2019,82.73,150.62,23.16,46.79,68.58,20.61,1.22,13.51,37.99,171,,,,,,
Mumbai,12/11/2019,95.77,169.34,28.29,44.51,71.52,21.34,1.29,14.82,28.02,198,,,,,,
Mumbai,12/12/2019,95.21,169.26,39.47,41.68,79.89,19.77,1.32,16.04,31.95,229,,,,,,
Mumbai,12/13/2019,72.43,132.97,19.79,39.02,57.49,17.73,1.02,14.48,32.43,203,,,,,,
Mumbai,12/14/2019,50.06,110.41,25.28,36.34,60.45,16.16,0.99,12.67,33.34,110,,,,,,
Mumbai,12/15/2019,69.63,143.27,26.16,40.24,65.19,15.63,1.15,12.47,34.86,128,,,,,,
Mumbai,12/16/2019,89.46,161.83,29.25,39.26,67.28,16.79,1.34,13.46,33.36,180,,,,,,
Mumbai,12/17/2019,80.42,149.67,29.99,37.31,66.23,17.29,1.18,10.74,38.95,191,,,,,,
Mumbai,12/18/2019,73.92,137.11,22.08,37.22,59.3,17.01,0.92,10.17,40.44,164,,,,,,
Mumbai,12/19/2019,75.17,138.83,26.2,38.8,64.03,17.47,0.98,9.88,35.35,164,,,,,,
Mumbai,12/20/2019,94.27,169.49,32.6,49.03,79.62,18.38,1.14,10.1,39.76,187,,,,,,
Mumbai,12/21/2019,94.04,174.95,43.51,45.96,88.32,18.72,1.25,10.79,27.67,212,,,,,,
Mumbai,12/22/2019,94.72,171.39,32.75,41.58,72.93,19.23,1.21,11.57,26.98,225,,,,,,
Mumbai,12/23/2019,94.33,167.3,35.31,37.77,72.19,20.09,1.18,13.41,30.36,214,,,,,,
Mumbai,12/24/2019,122.89,205.91,30.94,46.54,77.07,23.81,1.28,11.52,41.44,250,,,,,,
Mumbai,12/25/2019,134.32,215.78,24.85,44.73,69.58,23.2,1.26,10.77,28.58,283,,,,,,
Mumbai,12/26/2019,87.5,152.83,24.13,34.22,58.34,21.21,0.98,10.49,29.76,268,,,,,,
Mumbai,12/27/2019,88.03,154.44,30.85,39.77,70.12,19.47,1.02,10.27,32.89,184,,,,,,
